"sample"	"reads_total"	"reads_assigned_bins"	"percentage_duplicates"	"median_bin_count"	"filter_corr_value"	"filtered"	"is_normal"	"find_normal_cv"	"timepoint"	"total_reads"	"dups_removed"	"reads_kept"	"dups_percentage"
"well_2207_DUKE_27_A_yes_30_46_S7391"	1895372	1496174	0.21	110	0.995	"kept"	FALSE	0.28	"recurrence"	1895372	399198	1496174	0.210617229757536
"well_2210_DUKE_27_A_yes_30_49_S7394"	192400	169401	0.12	12	0.93	"kept"	FALSE	0.47	"recurrence"	192400	22999	169401	0.119537422037422
"well_2216_DUKE_27_A_yes_30_55_S7400"	1490401	1166624	0.22	86	0.997	"kept"	FALSE	0.28	"recurrence"	1490401	323777	1166624	0.217241534325326
"well_2218_DUKE_27_A_yes_30_57_S7402"	1554535	1198937	0.23	88	0.995	"kept"	FALSE	0.29	"recurrence"	1554535	355598	1198937	0.228748789831043
"well_2221_DUKE_27_A_yes_30_60_S7405"	1558120	1188039	0.24	87	0.992	"kept"	FALSE	0.28	"recurrence"	1558120	370081	1188039	0.237517649475008
"well_2224_DUKE_27_A_yes_30_63_S7408"	948843	714124	0.25	52	0.991	"kept"	FALSE	0.29	"recurrence"	948843	234719	714124	0.247373906958264
"well_2225_DUKE_27_A_yes_30_64_S7409"	1315713	1022471	0.22	73	0.894	"kept"	FALSE	0.32	"recurrence"	1315713	293242	1022471	0.222876873603894
"well_2227_DUKE_27_A_yes_30_66_S7411"	1198002	899286	0.25	65	0.992	"kept"	FALSE	0.3	"recurrence"	1198002	298716	899286	0.249345159690885
"well_2232_DUKE_27_A_yes_30_71_S7416"	1031338	766745	0.26	56	0.996	"kept"	FALSE	0.28	"recurrence"	1031338	264593	766745	0.256553137768607
"well_2233_DUKE_27_A_yes_31_0_S7417"	1545268	1205797	0.22	88	0.996	"kept"	FALSE	0.29	"recurrence"	1545268	339471	1205797	0.219684223060336
"well_2238_DUKE_27_A_yes_31_5_S7422"	1520100	1187463	0.22	88	0.887	"kept"	FALSE	0.27	"recurrence"	1520100	332637	1187463	0.218825735149003
"well_2239_DUKE_27_A_yes_31_6_S7423"	1406918	1085321	0.23	80	0.997	"kept"	FALSE	0.28	"recurrence"	1406918	321597	1085321	0.228582618176752
"well_2241_DUKE_27_A_yes_31_8_S7425"	1178322	938256	0.2	69	0.994	"kept"	FALSE	0.28	"recurrence"	1178322	240066	938256	0.203735481472806
"well_2244_DUKE_27_A_yes_31_11_S7428"	1330190	1045801	0.21	77	0.998	"kept"	FALSE	0.29	"recurrence"	1330190	284389	1045801	0.213795773536111
"well_2248_DUKE_27_A_yes_31_15_S7432"	1590684	1235785	0.22	91	0.997	"kept"	FALSE	0.28	"recurrence"	1590684	354899	1235785	0.223110938439061
"well_2251_DUKE_27_A_yes_31_18_S7435"	326992	281160	0.14	19	0.9	"kept"	FALSE	0.29	"recurrence"	326992	45832	281160	0.140162450457504
"well_2258_DUKE_27_A_yes_31_25_S7442"	1422152	1050549	0.26	75	0.809	"kept"	FALSE	0.59	"recurrence"	1422152	371603	1050549	0.261296260877881
"well_2263_DUKE_27_A_yes_31_30_S7447"	1333436	1048500	0.21	77	0.988	"kept"	FALSE	0.3	"recurrence"	1333436	284936	1048500	0.213685546212942
"well_2266_DUKE_27_A_yes_31_33_S7450"	712156	595738	0.16	44	0.973	"kept"	FALSE	0.3	"recurrence"	712156	116418	595738	0.163472609933779
"well_2267_DUKE_27_A_yes_31_34_S7451"	1429807	1130883	0.21	83	0.967	"kept"	FALSE	0.29	"recurrence"	1429807	298924	1130883	0.209065978834906
"well_227_DUKE_27_A_yes_3_10_S5411"	1883181	1393140	0.26	98	0.637	"removed"	FALSE	0.53	"recurrence"	1883181	490041	1393140	0.260219808929678
"well_2272_DUKE_27_A_yes_31_39_S7456"	938868	802937	0.14	59	0.948	"kept"	FALSE	0.28	"recurrence"	938868	135931	802937	0.144781801062556
"well_2274_DUKE_27_A_yes_31_41_S7458"	1560147	1190545	0.24	87	0.969	"kept"	FALSE	0.29	"recurrence"	1560147	369602	1190545	0.23690203551332
"well_2280_DUKE_27_A_yes_31_47_S7464"	1091230	874085	0.2	64	0.971	"kept"	FALSE	0.28	"recurrence"	1091230	217145	874085	0.1989910468004
"well_2290_DUKE_27_A_yes_31_57_S7474"	1391134	1082105	0.22	79	0.992	"kept"	FALSE	0.29	"recurrence"	1391134	309029	1082105	0.222141792235687
"well_2293_DUKE_27_A_yes_31_60_S7477"	1443748	1113791	0.23	81	0.998	"kept"	FALSE	0.28	"recurrence"	1443748	329957	1113791	0.22854196161657
"well_2298_DUKE_27_A_yes_31_65_S7482"	1007993	728943	0.28	52	0.991	"kept"	FALSE	0.28	"recurrence"	1007993	279050	728943	0.27683723994115
"well_2301_DUKE_27_A_yes_31_68_S7485"	1175399	892540	0.24	65	0.995	"kept"	FALSE	0.28	"recurrence"	1175399	282859	892540	0.240649345456309
"well_2302_DUKE_27_A_yes_31_69_S7486"	715272	565525	0.21	40	0.987	"kept"	FALSE	0.28	"recurrence"	715272	149747	565525	0.209356720240692
"well_235_DUKE_27_D_yes_3_18_S5419"	1567881	1191232	0.24	89	0.354	"removed"	TRUE	0.05	"recurrence"	1567881	376649	1191232	0.240228053021881
"well_2383_DUKE_27_A_yes_33_6_S7567"	2267905	1676913	0.26	122	0.994	"kept"	FALSE	0.28	"recurrence"	2267905	590992	1676913	0.26058939858592
"well_2384_DUKE_27_A_yes_33_7_S7568"	2134490	1618975	0.24	118	0.986	"kept"	FALSE	0.3	"recurrence"	2134490	515515	1618975	0.241516708909388
"well_2389_DUKE_27_A_yes_33_12_S7573"	2348155	1749211	0.26	119	0.621	"removed"	FALSE	0.58	"recurrence"	2348155	598944	1749211	0.255070044353972
"well_2400_DUKE_27_A_yes_33_23_S7584"	2049695	1532714	0.25	111	0.983	"kept"	FALSE	0.29	"recurrence"	2049695	516981	1532714	0.252223379575986
"well_2402_DUKE_27_A_yes_33_25_S7586"	1401131	1030802	0.26	73	0.753	"removed"	FALSE	0.37	"recurrence"	1401131	370329	1030802	0.264307191832884
"well_2414_DUKE_27_A_yes_33_37_S7598"	2104800	1608819	0.24	117	0.998	"kept"	FALSE	0.28	"recurrence"	2104800	495981	1608819	0.235642816419612
"well_2417_DUKE_27_A_yes_33_40_S7601"	2087577	1600667	0.23	118	0.969	"kept"	FALSE	0.3	"recurrence"	2087577	486910	1600667	0.233241695994926
"well_2420_DUKE_27_A_yes_33_43_S7604"	2201945	1678336	0.24	123	0.995	"kept"	FALSE	0.29	"recurrence"	2201945	523609	1678336	0.237793859519652
"well_2428_DUKE_27_A_yes_33_51_S7612"	1678934	1263251	0.25	93	0.98	"kept"	FALSE	0.22	"recurrence"	1678934	415683	1263251	0.24758745727944
"well_2430_DUKE_27_A_yes_33_53_S7614"	2061118	1476714	0.28	106	0.995	"kept"	FALSE	0.28	"recurrence"	2061118	584404	1476714	0.283537381168861
"well_2432_DUKE_27_A_yes_33_55_S7616"	1277924	972559	0.24	61	0.414	"removed"	FALSE	0.97	"recurrence"	1277924	305365	972559	0.238953959703394
"well_2433_DUKE_27_A_yes_33_56_S7617"	1961473	1446768	0.26	105	0.996	"kept"	FALSE	0.29	"recurrence"	1961473	514705	1446768	0.262407384654288
"well_2438_DUKE_27_A_yes_33_61_S7622"	1604998	1181133	0.26	85	0.997	"kept"	FALSE	0.28	"recurrence"	1604998	423865	1181133	0.264090671764077
"well_244_DUKE_27_A_yes_3_27_S5428"	2624366	1976132	0.25	145	0.971	"kept"	FALSE	0.29	"recurrence"	2624366	648234	1976132	0.247005943530742
"well_2444_DUKE_27_A_yes_33_67_S7628"	1595576	1158985	0.27	83	0.783	"removed"	FALSE	0.46	"recurrence"	1595576	436591	1158985	0.273625950753834
"well_2445_DUKE_27_A_yes_33_68_S7629"	1408881	1032236	0.27	75	0.932	"kept"	FALSE	0.29	"recurrence"	1408881	376645	1032236	0.26733627609429
"well_2449_DUKE_27_A_yes_34_0_S7633"	1415525	1110684	0.22	80	0.996	"kept"	FALSE	0.28	"recurrence"	1415525	304841	1110684	0.215355433496406
"well_245_DUKE_27_A_yes_3_28_S5429"	1619417	1269421	0.22	91	0.963	"kept"	FALSE	0.29	"recurrence"	1619417	349996	1269421	0.21612469178723
"well_2451_DUKE_27_A_yes_34_2_S7635"	1464428	1155119	0.21	83	0.986	"kept"	FALSE	0.29	"recurrence"	1464428	309309	1155119	0.211214890728667
"well_2456_DUKE_27_A_yes_34_7_S7640"	1498657	1112633	0.26	80	0.999	"kept"	FALSE	0.28	"recurrence"	1498657	386024	1112633	0.257579953251478
"well_2457_DUKE_27_A_yes_34_8_S7641"	1362423	1054732	0.23	76	0.99	"kept"	FALSE	0.29	"recurrence"	1362423	307691	1054732	0.225841020006268
"well_2459_DUKE_27_A_yes_34_10_S7643"	1619875	1175799	0.27	84	0.989	"kept"	FALSE	0.29	"recurrence"	1619875	444076	1175799	0.274142140597268
"well_2461_DUKE_27_A_yes_34_12_S7645"	1916332	1435395	0.25	102	0.997	"kept"	FALSE	0.28	"recurrence"	1916332	480937	1435395	0.250967473277073
