"sample"	"reads_total"	"reads_assigned_bins"	"percentage_duplicates"	"median_bin_count"	"filter_corr_value"	"filtered"	"is_normal"	"find_normal_cv"	"timepoint"	"total_reads"	"dups_removed"	"reads_kept"	"dups_percentage"
"SC89_NKI_12P_R13C33yesS_A_W_B2_S970"	1176848	937883	0.2	65	0.979	"kept"	FALSE	0.31	"primary"	1176848	238965	937883	0.203055109920737
"SC89_NKI_12P_R13C44yesS_A_W_B1_S981"	510595	413271	0.19	29	0.967	"kept"	FALSE	0.31	"primary"	510595	97324	413271	0.190608995387734
"SC89_NKI_12P_R13C60yesS_A_W_B1_S997"	867423	674449	0.22	49	0.669	"removed"	TRUE	0.04	"primary"	867423	192974	674449	0.222468161439113
"SC89_NKI_12P_R13C68yesS_A_W_B2_S1005"	823252	634548	0.23	43	0.978	"kept"	FALSE	0.31	"primary"	823252	188704	634548	0.229217785076744
"SC89_NKI_12P_R13C6yesS_A_W_B1_S943"	1263253	962864	0.24	66	0.987	"kept"	FALSE	0.31	"primary"	1263253	300389	962864	0.237790054723796
"SC89_NKI_12P_R13C70yesS_A_W_B2_S1007"	423005	347401	0.18	24	0.965	"kept"	FALSE	0.3	"primary"	423005	75604	347401	0.1787307478635
"SC89_NKI_12P_R13C8yesS_A_W_B1_S945"	535812	411630	0.23	27	0.953	"kept"	FALSE	0.3	"primary"	535812	124182	411630	0.231764126223377
"SC89_NKI_12P_R14C19yesS_A_W_B1_S1028"	846712	661805	0.22	45	0.982	"kept"	FALSE	0.31	"primary"	846712	184907	661805	0.218382401572199
"SC89_NKI_12P_R14C20yesS_A_W_B1_S1029"	949833	741121	0.22	54	0.775	"removed"	TRUE	0.03	"primary"	949833	208712	741121	0.219735469287759
"SC89_NKI_12P_R14C24yesS_A_W_B1_S1033"	770671	575552	0.25	40	0.987	"kept"	FALSE	0.27	"primary"	770671	195119	575552	0.253180669831874
"SC89_NKI_12P_R14C27yesS_A_W_B2_S1036"	713678	545169	0.24	39	0.85	"kept"	TRUE	0.02	"primary"	713678	168509	545169	0.236113485353339
"SC89_NKI_12P_R14C37yesS_A_W_B1_S1046"	785293	619670	0.21	44	0.982	"kept"	FALSE	0.27	"primary"	785293	165623	619670	0.210905993049728
"SC89_NKI_12P_R14C40yesS_A_W_B1_S1049"	838769	649041	0.23	44	0.984	"kept"	FALSE	0.27	"primary"	838769	189728	649041	0.226198154676675
"SC89_NKI_12P_R14C52yesS_A_W_B2_S1061"	551757	414086	0.25	29	0.497	"removed"	FALSE	0.49	"primary"	551757	137671	414086	0.249513825832749
"SC89_NKI_12P_R14C53yesS_A_W_B2_S1062"	854032	654823	0.23	48	0.704	"removed"	TRUE	0.02	"primary"	854032	199209	654823	0.233257067650861
"SC89_NKI_12P_R14C54yesS_A_W_B1_S1063"	711516	555244	0.22	38	0.981	"kept"	FALSE	0.33	"primary"	711516	156272	555244	0.219632446775617
"SC89_NKI_12P_R14C58yesS_A_W_B1_S1067"	458273	352712	0.23	25	0.811	"kept"	TRUE	0.03	"primary"	458273	105561	352712	0.230345230899486
"SC89_NKI_12P_R15C19yesS_A_W_B1_S1100"	1159861	893116	0.23	62	0.944	"kept"	FALSE	0.28	"primary"	1159861	266745	893116	0.229980144172448
"SC89_NKI_12P_R15C29yesS_A_W_B2_S1110"	1127525	855666	0.24	58	0.987	"kept"	FALSE	0.31	"primary"	1127525	271859	855666	0.241111283563557
"SC89_NKI_12P_R15C32yesS_A_W_B2_S1113"	155110	127940	0.18	8	0.836	"kept"	FALSE	0.29	"primary"	155110	27170	127940	0.175166011217845
"SC89_NKI_12P_R15C3yesS_A_W_B1_S1084"	1289340	1000068	0.22	73	0.578	"removed"	TRUE	0.05	"primary"	1289340	289272	1000068	0.224356647587138
"SC89_NKI_12P_R15C45yesS_A_W_B2_S1126"	1129955	870151	0.23	60	0.983	"kept"	FALSE	0.31	"primary"	1129955	259804	870151	0.22992420052126
"SC89_NKI_12P_R15C47yesS_A_W_B2_S1128"	1016453	789726	0.22	57	0.633	"removed"	FALSE	0.38	"primary"	1016453	226727	789726	0.223057042480075
"SC89_NKI_12P_R15C4yesS_A_W_B1_S1085"	516560	372810	0.28	25	0.342	"removed"	FALSE	0.51	"primary"	516560	143750	372810	0.27828325847917
