"sample"	"reads_total"	"reads_assigned_bins"	"percentage_duplicates"	"median_bin_count"	"filter_corr_value"	"filtered"	"is_normal"	"find_normal_cv"	"TotalReads"	"DupsRemoved"	"ReadsKept"	"MedianBinCount"	"dups_percentage"
"SC242_2_R11C55yesS_SC242_2_BCM_DCIS_28T_A_W_B1_S848_R1_001"	987416	810677	0.18	59	0.994	"kept"	FALSE	0.29	987416	176739	810677	59	0.178991428131608
"SC242_2_R11C56yesS_SC242_2_BCM_DCIS_28T_A_W_B1_S849_R1_001"	1120620	934910	0.17	71	0.296	"removed"	FALSE	0.13	1120620	185710	934910	71	0.16572076172119
"SC242_2_R11C57yesS_SC242_2_BCM_DCIS_28T_A_W_B1_S850_R1_001"	1180411	988485	0.16	73	0.841	"kept"	FALSE	0.3	1180411	191926	988485	73	0.162592520740657
"SC242_2_R11C58yesS_SC242_2_BCM_DCIS_28T_A_W_B1_S851_R1_001"	955086	800703	0.16	59	0.995	"kept"	FALSE	0.29	955086	154383	800703	59	0.161643035286875
"SC242_2_R11C63yesS_SC242_2_BCM_DCIS_28T_A_W_B2_S856_R1_001"	1062153	896441	0.16	66	0.721	"removed"	FALSE	0.25	1062153	165712	896441	66	0.156015188019052
"SC242_2_R11C68yesS_SC242_2_BCM_DCIS_28T_A_W_B2_S861_R1_001"	935158	781730	0.16	57	0.989	"kept"	FALSE	0.28	935158	153428	781730	57	0.164066393058713
"SC242_2_R11C69yesS_SC242_2_BCM_DCIS_28T_A_W_B2_S862_R1_001"	802121	675413	0.16	50	0.928	"kept"	FALSE	0.29	802121	126708	675413	50	0.157966192133107
"SC242_2_R11C6yesS_SC242_2_BCM_DCIS_28T_A_W_B1_S799_R1_001"	1043830	871719	0.16	64	0.924	"kept"	FALSE	0.28	1043830	172111	871719	64	0.164884128641637
"SC242_2_R11C70yesS_SC242_2_BCM_DCIS_28T_A_W_B2_S863_R1_001"	892978	740675	0.17	54	0.969	"kept"	FALSE	0.3	892978	152303	740675	54	0.170556273502819
"SC242_2_R12C23yesS_SC242_2_BCM_DCIS_28T_A_W_B1_S888_R1_001"	138609	116206	0.16	8	0.349	"removed"	TRUE	0.04	138609	22403	116206	8	0.161627311357848
"SC242_2_R12C25yesS_SC242_2_BCM_DCIS_28T_A_W_B1_S890_R1_001"	875090	737066	0.16	53	0.927	"kept"	FALSE	0.31	875090	138024	737066	53	0.157725491092345
"SC242_2_R12C27yesS_SC242_2_BCM_DCIS_28T_A_W_B2_S892_R1_001"	1132182	942719	0.17	69	0.977	"kept"	FALSE	0.31	1132182	189463	942719	69	0.167343236334794
"SC242_2_R12C2yesS_SC242_2_BCM_DCIS_28T_A_W_B1_S867_R1_001"	966525	820364	0.15	61	0.934	"kept"	FALSE	0.32	966525	146161	820364	61	0.151223196502936
"SC242_2_R12C36yesS_SC242_2_BCM_DCIS_28T_A_W_B1_S901_R1_001"	347585	291590	0.16	20	0.983	"kept"	FALSE	0.26	347585	55995	291590	20	0.161097285556051
"SC242_2_R12C39yesS_SC242_2_BCM_DCIS_28T_A_W_B1_S904_R1_001"	1193264	985533	0.17	72	0.996	"kept"	FALSE	0.28	1193264	207731	985533	72	0.174086371498679
"SC242_2_R12C3yesS_SC242_2_BCM_DCIS_28T_A_W_B1_S868_R1_001"	600224	516026	0.14	38	0.997	"kept"	FALSE	0.29	600224	84198	516026	38	0.140277629684918
"SC242_2_R12C46yesS_SC242_2_BCM_DCIS_28T_A_W_B2_S911_R1_001"	792887	659186	0.17	48	0.99	"kept"	FALSE	0.29	792887	133701	659186	48	0.168625541848965
"SC242_2_R12C49yesS_SC242_2_BCM_DCIS_28T_A_W_B2_S914_R1_001"	499455	444122	0.11	32	0.993	"kept"	FALSE	0.29	499455	55333	444122	32	0.110786757565747
"SC242_2_R12C53yesS_SC242_2_BCM_DCIS_28T_A_W_B2_S918_R1_001"	831106	697340	0.16	51	0.991	"kept"	FALSE	0.3	831106	133766	697340	51	0.160949385517611
"SC242_2_R12C54yesS_SC242_2_BCM_DCIS_28T_A_W_B1_S919_R1_001"	904662	770303	0.15	59	0.126	"removed"	TRUE	0.04	904662	134359	770303	59	0.148518452195406
"SC242_2_R12C57yesS_SC242_2_BCM_DCIS_28T_A_W_B1_S922_R1_001"	1089275	921482	0.15	69	0.938	"kept"	FALSE	0.15	1089275	167793	921482	69	0.15404099056712
"SC242_2_R12C67yesS_SC242_2_BCM_DCIS_28T_A_W_B2_S932_R1_001"	816466	673341	0.18	49	0.988	"kept"	FALSE	0.29	816466	143125	673341	49	0.175298175306749
"SC242_2_R12C6yesS_SC242_2_BCM_DCIS_28T_A_W_B1_S871_R1_001"	483906	403317	0.17	29	0.99	"kept"	FALSE	0.3	483906	80589	403317	29	0.166538542609515
"SC242_2_R12C70yesS_SC242_2_BCM_DCIS_28T_A_W_B2_S935_R1_001"	940582	796419	0.15	58	0.983	"kept"	FALSE	0.27	940582	144163	796419	58	0.153269996661641
"SC242_2_R13C14yesS_SC242_2_BCM_DCIS_28T_A_W_B2_S951_R1_001"	776289	661793	0.15	48	0.984	"kept"	FALSE	0.3	776289	114496	661793	48	0.147491462586743
"SC242_2_R13C15yesS_SC242_2_BCM_DCIS_28T_A_W_B2_S952_R1_001"	833729	698566	0.16	51	0.993	"kept"	FALSE	0.29	833729	135163	698566	51	0.162118626076339
"SC242_2_R13C16yesS_SC242_2_BCM_DCIS_28T_A_W_B2_S953_R1_001"	865422	750233	0.13	58	0.331	"removed"	FALSE	0.09	865422	115189	750233	58	0.133101538902408
"SC242_2_R13C19yesS_SC242_2_BCM_DCIS_28T_A_W_B1_S956_R1_001"	760375	642250	0.16	47	0.998	"kept"	FALSE	0.29	760375	118125	642250	47	0.155350978135788
"SC242_2_R13C21yesS_SC242_2_BCM_DCIS_28T_A_W_B1_S958_R1_001"	748182	650790	0.13	48	0.974	"kept"	FALSE	0.31	748182	97392	650790	48	0.130171535802786
"SC242_2_R13C22yesS_SC242_2_BCM_DCIS_28T_A_W_B1_S959_R1_001"	697264	625658	0.1	46	0.953	"kept"	FALSE	0.26	697264	71606	625658	46	0.102695679111499
"SC242_2_R13C23yesS_SC242_2_BCM_DCIS_28T_A_W_B1_S960_R1_001"	813582	684308	0.16	50	0.993	"kept"	FALSE	0.29	813582	129274	684308	50	0.158894862472375
"SC242_2_R13C24yesS_SC242_2_BCM_DCIS_28T_A_W_B1_S961_R1_001"	771443	660661	0.14	48	0.985	"kept"	FALSE	0.28	771443	110782	660661	48	0.143603610376917
"SC242_2_R13C25yesS_SC242_2_BCM_DCIS_28T_A_W_B1_S962_R1_001"	756003	651519	0.14	48	0.997	"kept"	FALSE	0.29	756003	104484	651519	48	0.138205800770632
"SC242_2_R13C29yesS_SC242_2_BCM_DCIS_28T_A_W_B2_S966_R1_001"	784477	666465	0.15	49	0.984	"kept"	FALSE	0.29	784477	118012	666465	49	0.150433983405505
"SC242_2_R13C2yesS_SC242_2_BCM_DCIS_28T_A_W_B1_S939_R1_001"	614158	512238	0.17	37	0.992	"kept"	FALSE	0.29	614158	101920	512238	37	0.165950781395016
"SC242_2_R13C32yesS_SC242_2_BCM_DCIS_28T_A_W_B2_S969_R1_001"	669835	591051	0.12	43	0.991	"kept"	FALSE	0.3	669835	78784	591051	43	0.117617025088268
"SC242_2_R13C37yesS_SC242_2_BCM_DCIS_28T_A_W_B1_S974_R1_001"	827056	698716	0.16	51	0.994	"kept"	FALSE	0.29	827056	128340	698716	51	0.155176916677952
"SC242_2_R13C46yesS_SC242_2_BCM_DCIS_28T_A_W_B2_S983_R1_001"	837317	724081	0.14	54	0.974	"kept"	FALSE	0.27	837317	113236	724081	54	0.135236714410432
"SC242_2_R13C49yesS_SC242_2_BCM_DCIS_28T_A_W_B2_S986_R1_001"	143435	129430	0.1	9	0.995	"kept"	FALSE	0.3	143435	14005	129430	9	0.0976400460138739
"SC242_2_R13C50yesS_SC242_2_BCM_DCIS_28T_A_W_B2_S987_R1_001"	776464	661151	0.15	49	0.994	"kept"	FALSE	0.27	776464	115313	661151	49	0.148510426755136
"SC242_2_R13C51yesS_SC242_2_BCM_DCIS_28T_A_W_B2_S988_R1_001"	808770	696049	0.14	53	0.304	"removed"	TRUE	0.05	808770	112721	696049	53	0.139373369437541
"SC242_2_R13C52yesS_SC242_2_BCM_DCIS_28T_A_W_B2_S989_R1_001"	783122	664059	0.15	49	0.992	"kept"	FALSE	0.29	783122	119063	664059	49	0.152036336611665
"SC242_2_R13C61yesS_SC242_2_BCM_DCIS_28T_A_W_B1_S998_R1_001"	678878	581071	0.14	43	0.982	"kept"	FALSE	0.3	678878	97807	581071	43	0.144071541573007
"SC242_2_R13C62yesS_SC242_2_BCM_DCIS_28T_A_W_B1_S999_R1_001"	700443	603711	0.14	44	0.978	"kept"	FALSE	0.28	700443	96732	603711	44	0.138101173114729
"SC242_2_R13C65yesS_SC242_2_BCM_DCIS_28T_A_W_B2_S1002_R1_001"	908618	773871	0.15	56	0.963	"kept"	FALSE	0.28	908618	134747	773871	56	0.1482988450592
"SC242_2_R13C69yesS_SC242_2_BCM_DCIS_28T_A_W_B2_S1006_R1_001"	615251	552500	0.1	40	0.998	"kept"	FALSE	0.29	615251	62751	552500	40	0.101992520125932
"SC242_2_R13C6yesS_SC242_2_BCM_DCIS_28T_A_W_B1_S943_R1_001"	660270	552059	0.16	40	0.869	"kept"	FALSE	0.35	660270	108211	552059	40	0.163889015099883
"SC242_2_R14C0yesS_SC242_2_BCM_DCIS_28T_A_W_B1_S1009_R1_001"	663126	564243	0.15	41	0.993	"kept"	FALSE	0.3	663126	98883	564243	41	0.149116457505813
"SC242_2_R14C13yesS_SC242_2_BCM_DCIS_28T_A_W_B2_S1022_R1_001"	655103	553330	0.16	40	0.99	"kept"	FALSE	0.29	655103	101773	553330	40	0.155354196210367
"SC242_2_R14C17yesS_SC242_2_BCM_DCIS_28T_A_W_B2_S1026_R1_001"	526294	444099	0.16	34	0.287	"removed"	FALSE	0.23	526294	82195	444099	34	0.156176965726381
"SC242_2_R14C18yesS_SC242_2_BCM_DCIS_28T_A_W_B1_S1027_R1_001"	362561	311974	0.14	23	0.993	"kept"	FALSE	0.29	362561	50587	311974	23	0.139526865823958
