"cellname" "hg19" "mm10" "p_hg19" "p_mm10" "tt" "class"
"340" "Arc_well_A20_GM12878_fixed_r22c71_yes_C2_Good_S1656.bed" 255536 704 0.997252575710272 0.00274742428972838 256240 "Human"
"341" "Arc_well_A20_GM12878_fixed_r22c8_yes_C1_Good_S1593.bed" 779710 1199 0.9984646098329 0.00153539016710014 780909 "Human"
"342" "Arc_well_A20_GM12878_fixed_r23c13_yes_C2_Good_S1670.bed" 1512 1032545 0.00146220179351815 0.998537798206482 1034057 "Mouse"
"343" "Arc_well_A20_GM12878_fixed_r23c22_yes_C1_Good_S1679.bed" 1985 1184622 0.00167283692073281 0.998327163079267 1186607 "Mouse"
"344" "Arc_well_A20_GM12878_fixed_r23c23_yes_C1_Good_S1680.bed" 1354 732338 0.0018454610381468 0.998154538961853 733692 "Mouse"
"345" "Arc_well_A20_GM12878_fixed_r23c24_yes_C1_Good_S1681.bed" 1182 646776 0.00182419230876075 0.998175807691239 647958 "Mouse"
"346" "Arc_well_A20_GM12878_fixed_r23c25_yes_C1_Good_S1682.bed" 1362 763913 0.00177975237659665 0.998220247623403 765275 "Mouse"
"347" "Arc_well_A20_GM12878_fixed_r23c29_yes_C2_Good_S1686.bed" 1268 873967 0.00144875376327501 0.998551246236725 875235 "Mouse"
"348" "Arc_well_A20_GM12878_fixed_r23c34_yes_C2_Good_S1691.bed" 1235 760307 0.00162170963650068 0.998378290363499 761542 "Mouse"
"349" "Arc_well_A20_GM12878_fixed_r23c39_yes_C1_Good_S1696.bed" 1074 667249 0.0016070073901392 0.998392992609861 668323 "Mouse"
"350" "Arc_well_A20_GM12878_fixed_r23c43_yes_C1_Good_S1700.bed" 1461 890639 0.00163770877704293 0.998362291222957 892100 "Mouse"
"351" "Arc_well_A20_GM12878_fixed_r23c44_yes_C1_Good_S1701.bed" 703892 1315 0.99813529928092 0.00186470071907965 705207 "Human"
"352" "Arc_well_A20_GM12878_fixed_r23c45_yes_C2_Good_S1702.bed" 1071 570553 0.00187360922564483 0.998126390774355 571624 "Mouse"
"353" "Arc_well_A20_GM12878_fixed_r23c48_yes_C2_Good_S1705.bed" 577473 1217 0.997896974200349 0.00210302579965094 578690 "Human"
