sample	reads_total	reads_assigned_bins	percentage_duplicates	median_bin_count	filter_corr_value	ReadsKept	MedianBinCount	dups_percentage	sample_name	over_disp
MDA231-9x-cell1792_S1792_R1_001	815583	688131	0.16	104	0.991	688131	104	0.156271035565969	arc_well_mda231	0.00309542139525997
MDA231-9x-cell18_S18_R1_001	2321528	1938955	0.16	290	0.962	1938955	290	0.164793618685624	arc_well_mda231	0.00321576321981348
MDA231-9x-cell1811_S1811_R1_001	722174	590077	0.18	88	0.982	590077	88	0.182915751605569	arc_well_mda231	0.00329003016630825
MDA231-9x-cell1816_S1816_R1_001	831977	693585	0.17	104	0.988	693585	104	0.166341136834312	arc_well_mda231	0.00347033064550933
MDA231-9x-cell1822_S1822_R1_001	1465699	1214278	0.17	178	0.876	1214278	178	0.171536584250927	arc_well_mda231	0.0113973819376728
MDA231-9x-cell1825_S1825_R1_001	993070	817032	0.18	118	0.875	817032	118	0.177266456543849	arc_well_mda231	0.0110959378993614
MDA231-9x-cell1833_S1833_R1_001	1047926	892492	0.15	134	0.904	892492	134	0.148325358851675	arc_well_mda231	0.00320314904635179
MDA231-9x-cell1838_S1838_R1_001	889610	734031	0.17	112	0.973	734031	112	0.174884499949416	arc_well_mda231	0.0047912558851683
MDA231-9x-cell1842_S1842_R1_001	938664	778447	0.17	116	0.984	778447	116	0.170686209335822	arc_well_mda231	0.00326793078244244
MDA231-9x-cell1845_S1845_R1_001	849910	726237	0.15	108	0.937	726237	108	0.145513054323399	arc_well_mda231	0.00372901705904891
MDA231-9x-cell185_S185_R1_001	750610	646606	0.14	92	0.868	646606	92	0.13855930509852	arc_well_mda231	0.0147469731748186
MDA231-9x-cell1853_S1853_R1_001	906196	741260	0.18	114	0.996	741260	114	0.182009190064842	arc_well_mda231	0.00464829972768328
MDA231-9x-cell1854_S1854_R1_001	1010681	845674	0.16	120	0.921	845674	120	0.163263185911282	arc_well_mda231	0.0156916448535785
MDA231-9x-cell1861_S1861_R1_001	1084924	920676	0.15	140	0.871	920676	140	0.151391249525312	arc_well_mda231	0.00485264635558001
MDA231-9x-cell1866_S1866_R1_001	846685	703079	0.17	104	0.959	703079	104	0.169609713175502	arc_well_mda231	0.00378810536653688
MDA231-9x-cell1871_S1871_R1_001	665837	555791	0.17	82	0.989	555791	82	0.165274684344667	arc_well_mda231	0.00637344417428595
MDA231-9x-cell1874_S1874_R1_001	172938	152483	0.12	20	0.807	152483	20	0.118279383362824	arc_well_mda231	0.00832296646635519
MDA231-9x-cell1878_S1878_R1_001	791288	657815	0.17	96	0.861	657815	96	0.168678155109139	arc_well_mda231	0.00588872680530356
MDA231-9x-cell1879_S1879_R1_001	1177902	977020	0.17	144	0.821	977020	144	0.170542201303674	arc_well_mda231	0.00620320342956148
MDA231-9x-cell1882_S1882_R1_001	591024	509478	0.14	78	0.985	509478	78	0.137974092422643	arc_well_mda231	0.0108851269145733
MDA231-9x-cell1886_S1886_R1_001	849981	705290	0.17	102	0.83	705290	102	0.170228510990246	arc_well_mda231	0.0243871309093061
MDA231-9x-cell1888_S1888_R1_001	1140516	931449	0.18	136	0.949	931449	136	0.183309133760508	arc_well_mda231	0.0080607071934358
MDA231-9x-cell1890_S1890_R1_001	1083501	905850	0.16	136	0.828	905850	136	0.163960162473316	arc_well_mda231	0.00454175719161737
MDA231-9x-cell1891_S1891_R1_001	250377	218924	0.13	32	0.873	218924	32	0.125622561177744	arc_well_mda231	0.0169850265972157
MDA231-9x-cell1899_S1899_R1_001	1142430	973278	0.15	150	0.991	973278	150	0.148063338672829	arc_well_mda231	0.00311733669739316
MDA231-9x-cell19_S19_R1_001	1098494	915681	0.17	126	0.893	915681	126	0.166421482502408	arc_well_mda231	0.0161868229474504
MDA231-9x-cell190_S190_R1_001	697763	589477	0.16	88	0.951	589477	88	0.155190229347214	arc_well_mda231	0.00361625132719121
MDA231-9x-cell1901_S1901_R1_001	797861	671900	0.16	102	0.876	671900	102	0.157873363906746	arc_well_mda231	0.00756438455618964
MDA231-9x-cell1903_S1903_R1_001	813418	676112	0.17	100	0.869	676112	100	0.168801280522437	arc_well_mda231	0.00254776526126393
MDA231-9x-cell1907_S1907_R1_001	751222	637358	0.15	94	0.984	637358	94	0.151571705833961	arc_well_mda231	0.00284980259877891
MDA231-9x-cell1910_S1910_R1_001	1204680	1011154	0.16	148	0.862	1011154	148	0.160645150579407	arc_well_mda231	0.0116918370133009
MDA231-9x-cell1912_S1912_R1_001	1205295	996024	0.17	146	0.916	996024	146	0.173626373626374	arc_well_mda231	0.0114715447760538
MDA231-9x-cell1914_S1914_R1_001	1301935	1099301	0.16	170	0.965	1099301	170	0.155640642582003	arc_well_mda231	0.00286652228201658
MDA231-9x-cell1917_S1917_R1_001	1021752	865580	0.15	130	0.984	865580	130	0.152847266264221	arc_well_mda231	0.00389923636027858
MDA231-9x-cell1919_S1919_R1_001	1464741	1218427	0.17	180	0.859	1218427	180	0.168162152899386	arc_well_mda231	0.00911844120718314
MDA231-9x-cell192_S192_R1_001	719081	608387	0.15	90	0.989	608387	90	0.153938151612962	arc_well_mda231	0.00406375889401515
MDA231-9x-cell1920_S1920_R1_001	702528	599634	0.15	92	0.946	599634	92	0.146462489751298	arc_well_mda231	0.00399211647978208
MDA231-9x-cell1923_S1923_R1_001	645004	547358	0.15	84	0.986	547358	84	0.151388208445219	arc_well_mda231	0.00379510099096335
MDA231-9x-cell1930_S1930_R1_001	817096	709751	0.13	108	0.923	709751	108	0.131373792063601	arc_well_mda231	0.00460464613471715
MDA231-9x-cell1932_S1932_R1_001	680315	579732	0.15	88	0.974	579732	88	0.147847688203259	arc_well_mda231	0.00378527701872137
MDA231-9x-cell194_S194_R1_001	716945	601961	0.16	92	0.936	601961	92	0.160380503385894	arc_well_mda231	0.00302734256717218
MDA231-9x-cell1958_S1958_R1_001	1128428	933222	0.17	128	0.886	933222	128	0.172989326744817	arc_well_mda231	0.0127534764345147
MDA231-9x-cell1959_S1959_R1_001	1073325	895987	0.17	138	0.991	895987	138	0.165223021917872	arc_well_mda231	0.00371453354808862
MDA231-9x-cell1964_S1964_R1_001	814551	673379	0.17	100	0.976	673379	100	0.17331265936694	arc_well_mda231	0.00996541038445459
MDA231-9x-cell1966_S1966_R1_001	1049789	880542	0.16	128	0.941	880542	128	0.161220016593811	arc_well_mda231	0.00865741296180239
MDA231-9x-cell1976_S1976_R1_001	762687	644488	0.15	98	0.99	644488	98	0.15497707447485	arc_well_mda231	0.00423021316211677
MDA231-9x-cell1981_S1981_R1_001	656508	565505	0.14	84	0.928	565505	84	0.138616741913274	arc_well_mda231	0.00411151205796713
MDA231-9x-cell1986_S1986_R1_001	878941	737601	0.16	104	0.882	737601	104	0.160807153153625	arc_well_mda231	0.0141785748769562
MDA231-9x-cell1988_S1988_R1_001	761019	632367	0.17	94	0.962	632367	94	0.169052283845738	arc_well_mda231	0.0035446058009127
MDA231-9x-cell199_S199_R1_001	866332	732590	0.15	102	0.907	732590	102	0.154377305698046	arc_well_mda231	0.0156332880401309
MDA231-9x-cell1990_S1990_R1_001	1072910	898315	0.16	134	0.897	898315	134	0.162730331528274	arc_well_mda231	0.0101899997872239
MDA231-9x-cell1991_S1991_R1_001	1046668	861921	0.18	130	0.989	861921	130	0.17650964775841	arc_well_mda231	0.00328795062684379
MDA231-9x-cell1994_S1994_R1_001	185956	163332	0.12	24	0.898	163332	24	0.121663189141517	arc_well_mda231	0.00790675271183555
MDA231-9x-cell1995_S1995_R1_001	842052	698032	0.17	104	0.979	698032	104	0.171034567936422	arc_well_mda231	0.00293666495199946
MDA231-9x-cell200_S200_R1_001	714014	585554	0.18	86	0.946	585554	86	0.179912438691678	arc_well_mda231	0.0060903182027685
MDA231-9x-cell2005_S2005_R1_001	782648	655719	0.16	96	0.918	655719	96	0.162178910570269	arc_well_mda231	0.00404810086966232
MDA231-9x-cell201_S201_R1_001	778006	635740	0.18	94	0.943	635740	94	0.182859772289674	arc_well_mda231	0.0047119441543214
MDA231-9x-cell2012_S2012_R1_001	1088631	886392	0.19	134	0.972	886392	134	0.185773691912136	arc_well_mda231	0.00337548287707714
MDA231-9x-cell203_S203_R1_001	984213	810317	0.18	124	0.991	810317	124	0.176685331325638	arc_well_mda231	0.00270159741637345
MDA231-9x-cell2031_S2031_R1_001	1639597	1341630	0.18	202	0.904	1341630	202	0.181731852400315	arc_well_mda231	0.00877781063407637
MDA231-9x-cell2034_S2034_R1_001	225998	184651	0.18	26	0.9	184651	26	0.182952946486252	arc_well_mda231	0.0106100748928158
MDA231-9x-cell2037_S2037_R1_001	1003220	824185	0.18	124	0.984	824185	124	0.178460357648372	arc_well_mda231	0.00440327790265904
MDA231-9x-cell2039_S2039_R1_001	1473215	1216954	0.17	182	0.924	1216954	182	0.17394677626823	arc_well_mda231	0.00361540998106395
MDA231-9x-cell2040_S2040_R1_001	1221096	988676	0.19	144	0.902	988676	144	0.190337205264779	arc_well_mda231	0.0143344566282705
MDA231-9x-cell2043_S2043_R1_001	676509	558604	0.17	82	0.897	558604	82	0.174284451500276	arc_well_mda231	0.0241398883033643
MDA231-9x-cell2046_S2046_R1_001	1099514	899473	0.18	134	0.909	899473	134	0.181935837106212	arc_well_mda231	0.010282825894853
MDA231-9x-cell2060_S2060_R1_001	1318599	1090900	0.17	168	0.974	1090900	168	0.172682521373063	arc_well_mda231	0.00392211151708294
MDA231-9x-cell2063_S2063_R1_001	1479129	1211415	0.18	178	0.864	1211415	178	0.180994355461897	arc_well_mda231	0.00433602350069226
MDA231-9x-cell2066_S2066_R1_001	830380	690448	0.17	104	0.983	690448	104	0.168515619354994	arc_well_mda231	0.00679793392991017
MDA231-9x-cell2072_S2072_R1_001	791308	640712	0.19	96	0.968	640712	96	0.190312748007097	arc_well_mda231	0.00302362736887504
MDA231-9x-cell2079_S2079_R1_001	951213	777120	0.18	110	0.955	777120	110	0.183022099151294	arc_well_mda231	0.0128568957619896
MDA231-9x-cell2085_S2085_R1_001	1249453	1026382	0.18	154	0.979	1026382	154	0.178534926884004	arc_well_mda231	0.00354529558898376
MDA231-9x-cell2091_S2091_R1_001	278632	236350	0.15	32	0.902	236350	32	0.151748542880933	arc_well_mda231	0.00563818860247975
MDA231-9x-cell2094_S2094_R1_001	727380	604847	0.17	90	0.915	604847	90	0.168458027440952	arc_well_mda231	0.00864988680430486
MDA231-9x-cell2097_S2097_R1_001	595445	496532	0.17	74	0.884	496532	74	0.16611609804432	arc_well_mda231	0.00827466386982636
MDA231-9x-cell2100_S2100_R1_001	904663	749942	0.17	112	0.959	749942	112	0.171026116907622	arc_well_mda231	0.0063325793835667
MDA231-9x-cell2109_S2109_R1_001	1195391	996094	0.17	148	0.897	996094	148	0.166721181605015	arc_well_mda231	0.0112373375917745
MDA231-9x-cell2117_S2117_R1_001	674598	567219	0.16	84	0.982	567219	84	0.159174797434917	arc_well_mda231	0.00601913705572821
MDA231-9x-cell2119_S2119_R1_001	669153	557158	0.17	86	0.995	557158	86	0.167368299925428	arc_well_mda231	0.00381537320965428
MDA231-9x-cell2122_S2122_R1_001	564150	472457	0.16	70	0.963	472457	70	0.162533014269255	arc_well_mda231	0.00669502353120463
MDA231-9x-cell2123_S2123_R1_001	1136797	949878	0.16	142	0.962	949878	142	0.164426014495112	arc_well_mda231	0.00380922929356394
MDA231-9x-cell2127_S2127_R1_001	657148	545055	0.17	82	0.969	545055	82	0.170574969413283	arc_well_mda231	0.00258055758413395
MDA231-9x-cell2131_S2131_R1_001	981695	818369	0.17	126	0.908	818369	126	0.166371429007991	arc_well_mda231	0.00291299914353708
MDA231-9x-cell2138_S2138_R1_001	313786	274760	0.12	40	0.868	274760	40	0.124371386868758	arc_well_mda231	0.0128728895566713
MDA231-9x-cell2142_S2142_R1_001	1107387	928665	0.16	140	0.899	928665	140	0.161390733320872	arc_well_mda231	0.00310531283546363
MDA231-9x-cell2144_S2144_R1_001	1356559	1121983	0.17	166	0.878	1121983	166	0.172919865630614	arc_well_mda231	0.00983782461286007
MDA231-9x-cell2147_S2147_R1_001	841948	706835	0.16	104	0.939	706835	104	0.160476656515604	arc_well_mda231	0.0127463910872532
MDA231-9x-cell2148_S2148_R1_001	1012956	834178	0.18	122	0.844	834178	122	0.176491377710384	arc_well_mda231	0.00352764971992902
MDA231-9x-cell2151_S2151_R1_001	941307	774527	0.18	114	0.815	774527	114	0.177179177462826	arc_well_mda231	0.00327730943105851
MDA231-9x-cell2153_S2153_R1_001	1081020	922404	0.15	140	0.974	922404	140	0.146728090137093	arc_well_mda231	0.00291476712713079
MDA231-9x-cell2159_S2159_R1_001	1382545	1152715	0.17	170	0.804	1152715	170	0.166236903681254	arc_well_mda231	0.00354582503454263
MDA231-9x-cell2160_S2160_R1_001	1007799	838742	0.17	124	0.846	838742	124	0.167748727672879	arc_well_mda231	0.00499661286625096
MDA231-9x-cell2165_S2165_R1_001	1424860	1175744	0.17	180	0.93	1175744	180	0.174835422427467	arc_well_mda231	0.00601274072543919
MDA231-9x-cell2167_S2167_R1_001	1042631	864684	0.17	128	0.876	864684	128	0.170671119504408	arc_well_mda231	0.0174628916797694
MDA231-9x-cell2169_S2169_R1_001	842994	699651	0.17	104	0.958	699651	104	0.170040356159119	arc_well_mda231	0.0078410669870831
MDA231-9x-cell2171_S2171_R1_001	1086856	880903	0.19	138	0.966	880903	138	0.189494284431424	arc_well_mda231	0.00300542148668422
MDA231-9x-cell2172_S2172_R1_001	933432	761964	0.18	116	0.899	761964	116	0.183696294963104	arc_well_mda231	0.00786556543587644
MDA231-9x-cell2173_S2173_R1_001	1269069	1040453	0.18	146	0.888	1040453	146	0.1801446572251	arc_well_mda231	0.0143236302631781
MDA231-9x-cell2175_S2175_R1_001	395368	329095	0.17	48	0.988	329095	48	0.167623581068776	arc_well_mda231	0.00663505889858019
MDA231-9x-cell2177_S2177_R1_001	898003	741086	0.17	112	0.912	741086	112	0.174739950757403	arc_well_mda231	0.0131868401279688
MDA231-9x-cell2178_S2178_R1_001	860017	709710	0.17	100	0.87	709710	100	0.174772126597497	arc_well_mda231	0.0202093847546488
MDA231-9x-cell2182_S2182_R1_001	1393233	1164083	0.16	174	0.988	1164083	174	0.164473566158711	arc_well_mda231	0.00258144744586855
MDA231-9x-cell2183_S2183_R1_001	764996	637154	0.17	98	0.982	637154	98	0.167114599292022	arc_well_mda231	0.00516144662023085
MDA231-9x-cell22_S22_R1_001	1113251	952987	0.14	148	0.936	952987	148	0.143960346768159	arc_well_mda231	0.0026593282146969
MDA231-9x-cell220_S220_R1_001	1746010	1486164	0.15	220	0.864	1486164	220	0.148822744428726	arc_well_mda231	0.0108696003148117
MDA231-9x-cell2200_S2200_R1_001	1194372	972848	0.19	136	0.936	972848	136	0.18547320265378	arc_well_mda231	0.0141854243325977
MDA231-9x-cell221_S221_R1_001	1159856	992071	0.14	148	0.887	992071	148	0.144660199197142	arc_well_mda231	0.0113477523431448
MDA231-9x-cell2212_S2212_R1_001	833374	683334	0.18	94	0.919	683334	94	0.180039214086353	arc_well_mda231	0.0165900554102336
MDA231-9x-cell2221_S2221_R1_001	1073152	896551	0.16	130	0.873	896551	130	0.164562895097805	arc_well_mda231	0.0110876316708314
MDA231-9x-cell2239_S2239_R1_001	644365	533801	0.17	80	0.838	533801	80	0.17158597999581	arc_well_mda231	0.0196992923467673
MDA231-9x-cell2241_S2241_R1_001	747265	624273	0.16	96	0.919	624273	96	0.164589536509806	arc_well_mda231	0.00814542518688381
MDA231-9x-cell2250_S2250_R1_001	843117	710169	0.16	100	0.829	710169	100	0.157686299766225	arc_well_mda231	0.0174260410283237
MDA231-9x-cell226_S226_R1_001	803459	691630	0.14	104	0.982	691630	104	0.139184451228999	arc_well_mda231	0.00339908731618535
MDA231-9x-cell2277_S2277_R1_001	780667	650822	0.17	94	0.94	650822	94	0.166325718904475	arc_well_mda231	0.00266537262269723
MDA231-9x-cell2278_S2278_R1_001	866148	725763	0.16	108	0.971	725763	108	0.162079690768783	arc_well_mda231	0.00398255477531373
MDA231-9x-cell2279_S2279_R1_001	1284132	1073730	0.16	166	0.943	1073730	166	0.163847641831214	arc_well_mda231	0.00439333675037575
MDA231-9x-cell2281_S2281_R1_001	908892	746050	0.18	112	0.906	746050	112	0.179165401389824	arc_well_mda231	0.0028752811068527
MDA231-9x-cell2282_S2282_R1_001	228595	202068	0.12	30	0.919	202068	30	0.116043657997769	arc_well_mda231	0.0132095056222316
MDA231-9x-cell2284_S2284_R1_001	945123	775459	0.18	118	0.95	775459	118	0.179515258860487	arc_well_mda231	0.00401723634265589
MDA231-9x-cell2289_S2289_R1_001	917226	775076	0.15	118	0.993	775076	118	0.154978162415806	arc_well_mda231	0.00280762306740422
MDA231-9x-cell2291_S2291_R1_001	1003929	837280	0.17	126	0.988	837280	126	0.165996798578386	arc_well_mda231	0.00408837171028982
MDA231-9x-cell2295_S2295_R1_001	1240490	1024212	0.17	156	0.994	1024212	156	0.174348846020524	arc_well_mda231	0.00296126858058295
MDA231-9x-cell2303_S2303_R1_001	702164	587754	0.16	88	0.987	587754	88	0.162939142422568	arc_well_mda231	0.0059296515956687
MDA231-9x-cell2323_S2323_R1_001	570717	479760	0.16	72	0.986	479760	72	0.159373209489116	arc_well_mda231	0.00358171902580612
MDA231-9x-cell2337_S2337_R1_001	463090	421897	0.09	64	0.986	421897	64	0.0889524714418364	arc_well_mda231	0.00365896319686481
MDA231-9x-cell234_S234_R1_001	1032393	883338	0.14	136	0.974	883338	136	0.144378158317617	arc_well_mda231	0.00244429901125245
MDA231-9x-cell2346_S2346_R1_001	333927	300361	0.1	44	0.976	300361	44	0.100518975704271	arc_well_mda231	0.00378290638270756
MDA231-9x-cell2348_S2348_R1_001	217256	199111	0.08	30	0.931	199111	30	0.0835189822145303	arc_well_mda231	0.00467274178270537
MDA231-9x-cell235_S235_R1_001	813815	688105	0.15	104	0.934	688105	104	0.154469996252219	arc_well_mda231	0.00276625560014639
MDA231-9x-cell2351_S2351_R1_001	393047	359233	0.09	54	0.966	359233	54	0.0860304238424412	arc_well_mda231	0.00321297633055103
MDA231-9x-cell236_S236_R1_001	1442769	1199372	0.17	178	0.978	1199372	178	0.168701295910849	arc_well_mda231	0.00419872444767205
MDA231-9x-cell2361_S2361_R1_001	394130	357295	0.09	52	0.914	357295	52	0.0934590109862228	arc_well_mda231	0.00435064196192583
MDA231-9x-cell237_S237_R1_001	1069099	889983	0.17	136	0.987	889983	136	0.167539208249189	arc_well_mda231	0.00357762358448033
MDA231-9x-cell2378_S2378_R1_001	1361686	1145412	0.16	168	0.931	1145412	168	0.158828099870308	arc_well_mda231	0.00798025166474364
MDA231-9x-cell2388_S2388_R1_001	442637	366921	0.17	54	0.823	366921	54	0.171056644609466	arc_well_mda231	0.0082491561665575
MDA231-9x-cell2395_S2395_R1_001	434629	369560	0.15	54	0.944	369560	54	0.149711593105844	arc_well_mda231	0.00357403602806015
MDA231-9x-cell2399_S2399_R1_001	887840	752061	0.15	112	0.986	752061	112	0.152931834564786	arc_well_mda231	0.00294988126558758
MDA231-9x-cell2400_S2400_R1_001	1018619	839343	0.18	118	0.867	839343	118	0.175999073255064	arc_well_mda231	0.00373534520258601
MDA231-9x-cell2404_S2404_R1_001	1246575	1037873	0.17	156	0.902	1037873	156	0.167420331708882	arc_well_mda231	0.00279233531940581
MDA231-9x-cell2413_S2413_R1_001	1115380	943191	0.15	144	0.985	943191	144	0.154376983628898	arc_well_mda231	0.00564891506973117
MDA231-9x-cell2414_S2414_R1_001	812276	681376	0.16	102	0.984	681376	102	0.16115212070774	arc_well_mda231	0.00626929817950301
MDA231-9x-cell2417_S2417_R1_001	1213123	1019441	0.16	152	0.849	1019441	152	0.159655698556535	arc_well_mda231	0.0112942525475752
MDA231-9x-cell2418_S2418_R1_001	941418	815813	0.13	124	0.922	815813	124	0.13342107331706	arc_well_mda231	0.0027935593847727
MDA231-9x-cell2422_S2422_R1_001	1193984	1020480	0.15	154	0.921	1020480	154	0.145315180102916	arc_well_mda231	0.007381260958523
MDA231-9x-cell2433_S2433_R1_001	1021583	856916	0.16	118	0.88	856916	118	0.161188077718599	arc_well_mda231	0.0162124368501456
MDA231-9x-cell2435_S2435_R1_001	833695	710104	0.15	108	0.982	710104	108	0.148244861730009	arc_well_mda231	0.00393984443202801
MDA231-9x-cell2438_S2438_R1_001	809081	683664	0.16	94	0.888	683664	94	0.155011673738476	arc_well_mda231	0.0157095934076367
MDA231-9x-cell2440_S2440_R1_001	618020	523818	0.15	76	0.913	523818	76	0.15242548784829	arc_well_mda231	0.0139737011078107
MDA231-9x-cell2442_S2442_R1_001	1191804	990759	0.17	148	0.853	990759	148	0.168689650311628	arc_well_mda231	0.0063428511763885
MDA231-9x-cell2445_S2445_R1_001	663387	558836	0.16	82	0.868	558836	82	0.157601822164136	arc_well_mda231	0.00873124749948857
MDA231-9x-cell245_S245_R1_001	975795	829030	0.15	126	0.93	829030	126	0.150405566743015	arc_well_mda231	0.00364051496473754
MDA231-9x-cell2450_S2450_R1_001	702224	580242	0.17	86	0.897	580242	86	0.173708104536444	arc_well_mda231	0.00780627005158467
MDA231-9x-cell2453_S2453_R1_001	940908	771726	0.18	116	0.977	771726	116	0.179807164993814	arc_well_mda231	0.00741482535287119
MDA231-9x-cell2458_S2458_R1_001	605157	510313	0.16	76	0.829	510313	76	0.156726271033798	arc_well_mda231	0.00745815262597432
MDA231-9x-cell2459_S2459_R1_001	846213	679854	0.2	102	0.989	679854	102	0.19659234731681	arc_well_mda231	0.00435141852847961
MDA231-9x-cell2464_S2464_R1_001	718945	575753	0.2	82	0.97	575753	82	0.199169616590977	arc_well_mda231	0.0122850082922635
MDA231-9x-cell2481_S2481_R1_001	588224	494863	0.16	74	0.976	494863	74	0.158716747361549	arc_well_mda231	0.00479704182360835
MDA231-9x-cell2490_S2490_R1_001	1039191	867135	0.17	126	0.906	867135	126	0.165567253757971	arc_well_mda231	0.0136456100546485
MDA231-9x-cell2491_S2491_R1_001	1059806	894863	0.16	126	0.894	894863	126	0.155635087931187	arc_well_mda231	0.011643253591758
MDA231-9x-cell2492_S2492_R1_001	1051704	873109	0.17	132	0.948	873109	132	0.169814890881845	arc_well_mda231	0.00458210707073777
MDA231-9x-cell2495_S2495_R1_001	951290	791785	0.17	118	0.933	791785	118	0.167672318641003	arc_well_mda231	0.00927175028541444
MDA231-9x-cell2497_S2497_R1_001	841248	687221	0.18	106	0.987	687221	106	0.183093451633763	arc_well_mda231	0.00287991060114977
MDA231-9x-cell2502_S2502_R1_001	1140582	939141	0.18	136	0.91	939141	136	0.176612466267221	arc_well_mda231	0.00730627136983684
MDA231-9x-cell2507_S2507_R1_001	1401862	1179194	0.16	178	0.891	1179194	178	0.158837317795903	arc_well_mda231	0.0036680230841257
MDA231-9x-cell2508_S2508_R1_001	507963	423976	0.17	64	0.937	423976	64	0.165340782694803	arc_well_mda231	0.00397537894216357
MDA231-9x-cell251_S251_R1_001	1006942	847691	0.16	128	0.988	847691	128	0.158153101171666	arc_well_mda231	0.00478895413299124
MDA231-9x-cell2515_S2515_R1_001	847072	692831	0.18	102	0.989	692831	102	0.182087236976314	arc_well_mda231	0.00309575049253396
MDA231-9x-cell2523_S2523_R1_001	1068586	870955	0.18	128	0.846	870955	128	0.184946274796788	arc_well_mda231	0.00398204339606441
MDA231-9x-cell2528_S2528_R1_001	523292	433688	0.17	62	0.971	433688	62	0.171231358400281	arc_well_mda231	0.00455289620304188
MDA231-9x-cell2541_S2541_R1_001	831605	690860	0.17	104	0.99	690860	104	0.169245014159367	arc_well_mda231	0.00448765983094368
MDA231-9x-cell2543_S2543_R1_001	911885	761610	0.16	116	0.991	761610	116	0.16479599949555	arc_well_mda231	0.00398098488558789
MDA231-9x-cell2544_S2544_R1_001	1061289	867813	0.18	128	0.913	867813	128	0.182302841167674	arc_well_mda231	0.00348472414125329
MDA231-9x-cell2545_S2545_R1_001	983981	803346	0.18	122	0.963	803346	122	0.183575699124272	arc_well_mda231	0.00365276171980932
MDA231-9x-cell2548_S2548_R1_001	728141	599817	0.18	90	0.99	599817	90	0.176235097323183	arc_well_mda231	0.00446541062143694
MDA231-9x-cell255_S255_R1_001	860613	719624	0.16	110	0.981	719624	110	0.163823925504263	arc_well_mda231	0.00314716812333482
MDA231-9x-cell2552_S2552_R1_001	923280	768268	0.17	106	0.868	768268	106	0.167892730266008	arc_well_mda231	0.0137578048367411
MDA231-9x-cell2553_S2553_R1_001	714096	603515	0.15	90	0.962	603515	90	0.154854529362999	arc_well_mda231	0.00384581905207796
MDA231-9x-cell2554_S2554_R1_001	935831	778939	0.17	110	0.829	778939	110	0.167649928245591	arc_well_mda231	0.0152251409290525
MDA231-9x-cell2557_S2557_R1_001	1155696	962945	0.17	146	0.982	962945	146	0.166783479392505	arc_well_mda231	0.00269254992649557
MDA231-9x-cell2558_S2558_R1_001	1189765	993231	0.17	152	0.915	993231	152	0.165187242858884	arc_well_mda231	0.00362013439583466
MDA231-9x-cell2559_S2559_R1_001	953253	787787	0.17	112	0.945	787787	112	0.17358036114232	arc_well_mda231	0.0125193626933959
MDA231-9x-cell2565_S2565_R1_001	940506	786698	0.16	120	0.945	786698	120	0.163537500026581	arc_well_mda231	0.0029393922218385
MDA231-9x-cell257_S257_R1_001	1415448	1198093	0.15	180	0.956	1198093	180	0.153559155829109	arc_well_mda231	0.00387561258738548
MDA231-9x-cell2582_S2582_R1_001	1069898	892946	0.17	126	0.895	892946	126	0.165391467223978	arc_well_mda231	0.0148268641479756
MDA231-9x-cell2589_S2589_R1_001	987346	825223	0.16	120	0.812	825223	120	0.164200796883767	arc_well_mda231	0.011767918412681
MDA231-9x-cell2596_S2596_R1_001	1338978	1115454	0.17	162	0.908	1115454	162	0.166936275278608	arc_well_mda231	0.0113757785524219
MDA231-9x-cell2597_S2597_R1_001	1078039	897602	0.17	136	0.957	897602	136	0.167375206277324	arc_well_mda231	0.00338338568711765
MDA231-9x-cell2598_S2598_R1_001	1315826	1089202	0.17	148	0.903	1089202	148	0.172229458910221	arc_well_mda231	0.0135706805582244
MDA231-9x-cell260_S260_R1_001	877150	736156	0.16	112	0.971	736156	112	0.160741036310779	arc_well_mda231	0.00333023286144418
MDA231-9x-cell2600_S2600_R1_001	1063189	932435	0.12	134	0.877	932435	134	0.122982837482329	arc_well_mda231	0.0142942852424139
MDA231-9x-cell2605_S2605_R1_001	1626530	1373938	0.16	208	0.875	1373938	208	0.155295014540156	arc_well_mda231	0.00521758908193199
MDA231-9x-cell2617_S2617_R1_001	1621653	1347946	0.17	196	0.956	1347946	196	0.168782717387752	arc_well_mda231	0.0122045450856067
MDA231-9x-cell2622_S2622_R1_001	1315353	1097014	0.17	166	0.906	1097014	166	0.165992703099472	arc_well_mda231	0.00279812028612
MDA231-9x-cell2623_S2623_R1_001	1263292	1051071	0.17	160	0.966	1051071	160	0.167990456679849	arc_well_mda231	0.00365927660867278
MDA231-9x-cell2624_S2624_R1_001	1489203	1266299	0.15	188	0.971	1266299	188	0.149680063765652	arc_well_mda231	0.0040796555637692
MDA231-9x-cell2628_S2628_R1_001	1617744	1361380	0.16	210	0.946	1361380	210	0.158470066957442	arc_well_mda231	0.00505732286303152
MDA231-9x-cell2631_S2631_R1_001	1661508	1394666	0.16	214	0.946	1394666	214	0.160602296227283	arc_well_mda231	0.00375545787393381
MDA231-9x-cell2640_S2640_R1_001	1134410	985662	0.13	148	0.942	985662	148	0.131123667809698	arc_well_mda231	0.00401359198352772
MDA231-9x-cell2642_S2642_R1_001	112536	100486	0.11	14	0.906	100486	14	0.107076846520225	arc_well_mda231	0.00264011449387194
MDA231-9x-cell2644_S2644_R1_001	1421163	1184636	0.17	182	0.96	1184636	182	0.166431999707282	arc_well_mda231	0.00650566041431668
