"","timepoint","cell_num","mpd","sample"
"232","primary","75","304.1035065967","nki19_p8"
"233","primary","100","326.285499842808","nki19_p8"
"234","primary","125","342.311408797241","nki19_p8"
"235","primary","150","353.355809303456","nki19_p8"
"236","primary","175","356.656018563331","nki19_p8"
"237","primary","200","366.34307477023","nki19_p8"
"238","primary","225","372.927364481251","nki19_p8"
"239","primary","250","376.772387852442","nki19_p8"
"240","primary","275","379.118787144202","nki19_p8"
"241","primary","300","386.052481735403","nki19_p8"
"242","primary","325","392.048537771164","nki19_p8"
"243","primary","350","393.948887133198","nki19_p8"
"244","primary","375","390.010222195002","nki19_p8"
"245","primary","400","397.232485945281","nki19_p8"
"246","primary","425","394.980765851994","nki19_p8"
"247","primary","450","394.087649163559","nki19_p8"
"248","primary","475","400.225255873331","nki19_p8"
"249","primary","500","399.71318378692","nki19_p8"
"250","primary","525","403.236285374595","nki19_p8"
"251","primary","550","410.312591262581","nki19_p8"
"252","primary","575","408.050989095352","nki19_p8"
"253","primary","600","410.837710984137","nki19_p8"
"254","recurrence","50","918.273304856661","nki19_p8"
"255","recurrence","75","980.713496976591","nki19_p8"
"256","recurrence","100","1067.67963454415","nki19_p8"
"257","recurrence","125","1068.79245938615","nki19_p8"
"258","recurrence","150","1129.59917597506","nki19_p8"
"259","recurrence","175","1140.89034983514","nki19_p8"
"260","recurrence","200","1122.90251761951","nki19_p8"
"261","recurrence","225","1147.68920520634","nki19_p8"
"262","recurrence","250","1160.23766261001","nki19_p8"
"263","recurrence","275","1227.79748543478","nki19_p8"
"264","recurrence","300","1197.8160258887","nki19_p8"
"265","recurrence","325","1210.87267031762","nki19_p8"
"266","recurrence","350","1218.90686371466","nki19_p8"
"267","recurrence","375","1236.25471693843","nki19_p8"
"268","recurrence","400","1262.3594268241","nki19_p8"
"269","recurrence","425","1252.42357002264","nki19_p8"
"270","recurrence","450","1268.19814481867","nki19_p8"
"271","recurrence","475","1276.79271528103","nki19_p8"
"272","recurrence","500","1262.18052085402","nki19_p8"
"273","recurrence","525","1314.23472888415","nki19_p8"
"274","recurrence","550","1302.12119631658","nki19_p8"
"275","recurrence","575","1278.41928193722","nki19_p8"
"276","recurrence","600","1324.86697951021","nki19_p8"
"277","recurrence","625","1300.66651537343","nki19_p8"
"278","recurrence","650","1294.61190661465","nki19_p8"
"279","recurrence","675","1324.84389439146","nki19_p8"
"280","recurrence","700","1322.22959902201","nki19_p8"
"281","recurrence","725","1348.44723724672","nki19_p8"
"282","recurrence","750","1331.84455284228","nki19_p8"
"283","recurrence","775","1370.08194275198","nki19_p8"
"284","recurrence","800","1324.26597128153","nki19_p8"
"285","recurrence","825","1342.30278629955","nki19_p8"
"286","recurrence","850","1376.6536329028","nki19_p8"
"287","recurrence","875","1318.89262200403","nki19_p8"
"288","primary","50","551.787629443726","nki22_p9"
"289","primary","75","614.643496835897","nki22_p9"
"290","primary","100","630.656301103558","nki22_p9"
"291","primary","125","690.003465392438","nki22_p9"
"292","primary","150","694.203209975795","nki22_p9"
"293","primary","175","708.768108259076","nki22_p9"
"294","primary","200","713.636505039955","nki22_p9"
"295","primary","225","733.666162108032","nki22_p9"
"296","primary","250","737.978874690784","nki22_p9"
"297","primary","275","751.624009810187","nki22_p9"
"298","recurrence","50","665.701767475924","nki22_p9"
