"","cell","correlation","n_reads"
"286","MDA231.9x.cell3335_S3335_R1_001",0.979740991994213,"1M"
"287","MDA231.9x.cell3342_S3342_R1_001",0.999235806756625,"1M"
"288","MDA231.9x.cell3349_S3349_R1_001",0.992511080947428,"1M"
"289","MDA231.9x.cell3350_S3350_R1_001",0.961468075663837,"1M"
"290","MDA231.9x.cell3354_S3354_R1_001",0.976638421120716,"1M"
"291","MDA231.9x.cell3358_S3358_R1_001",0.972783947679314,"1M"
"292","MDA231.9x.cell3365_S3365_R1_001",0.95911112970452,"1M"
"293","MDA231.9x.cell337_S337_R1_001",0.98015968881314,"1M"
"294","MDA231.9x.cell3379_S3379_R1_001",0.978873549168624,"1M"
"295","MDA231.9x.cell3387_S3387_R1_001",0.970010893042948,"1M"
"296","MDA231.9x.cell3395_S3395_R1_001",0.991768881773794,"1M"
"297","MDA231.9x.cell3401_S3401_R1_001",0.971997835364873,"1M"
"298","MDA231.9x.cell3404_S3404_R1_001",0.949921931045257,"1M"
"299","MDA231.9x.cell3406_S3406_R1_001",0.999705609909292,"1M"
"300","MDA231.9x.cell3419_S3419_R1_001",0.999824113540993,"1M"
"301","MDA231.9x.cell3422_S3422_R1_001",0.998768930468713,"1M"
"302","MDA231.9x.cell3427_S3427_R1_001",0.998408887130468,"1M"
"303","MDA231.9x.cell3428_S3428_R1_001",0.999009645816574,"1M"
"304","MDA231.9x.cell3429_S3429_R1_001",0.940665580921845,"1M"
"305","MDA231.9x.cell3436_S3436_R1_001",0.956148008485789,"1M"
"306","MDA231.9x.cell3441_S3441_R1_001",0.980811522045875,"1M"
"307","MDA231.9x.cell3443_S3443_R1_001",0.974337865591992,"1M"
"308","MDA231.9x.cell3459_S3459_R1_001",0.999050793145519,"1M"
"309","MDA231.9x.cell3467_S3467_R1_001",0.999783995132586,"1M"
"310","MDA231.9x.cell3472_S3472_R1_001",0.985861981750869,"1M"
"311","MDA231.9x.cell3478_S3478_R1_001",0.981799473444733,"1M"
"312","MDA231.9x.cell3485_S3485_R1_001",0.990659684182214,"1M"
"313","MDA231.9x.cell3494_S3494_R1_001",0.996439863844011,"1M"
"314","MDA231.9x.cell3504_S3504_R1_001",1,"1M"
"315","MDA231.9x.cell3505_S3505_R1_001",0.957653049649148,"1M"
"316","MDA231.9x.cell3508_S3508_R1_001",0.959276952929839,"1M"
"317","MDA231.9x.cell3509_S3509_R1_001",0.996135432764289,"1M"
"318","MDA231.9x.cell3510_S3510_R1_001",0.983137079991379,"1M"
"319","MDA231.9x.cell3543_S3543_R1_001",0.998840588984224,"1M"
"320","MDA231.9x.cell3549_S3549_R1_001",1,"1M"
"321","MDA231.9x.cell3550_S3550_R1_001",0.994560224960596,"1M"
"322","MDA231.9x.cell3553_S3553_R1_001",0.965013124750113,"1M"
"323","MDA231.9x.cell3554_S3554_R1_001",0.968466142792599,"1M"
"324","MDA231.9x.cell3555_S3555_R1_001",1,"1M"
"325","MDA231.9x.cell3558_S3558_R1_001",0.992881795713602,"1M"
"326","MDA231.9x.cell3564_S3564_R1_001",0.999996597068514,"1M"
"327","MDA231.9x.cell3573_S3573_R1_001",1,"1M"
"328","MDA231.9x.cell3574_S3574_R1_001",0.981864804634242,"1M"
"329","MDA231.9x.cell3579_S3579_R1_001",1,"1M"
"330","MDA231.9x.cell3584_S3584_R1_001",0.963533728671008,"1M"
"331","MDA231.9x.cell3586_S3586_R1_001",0.960348553849171,"1M"
"332","MDA231.9x.cell3601_S3601_R1_001",0.970693793703244,"1M"
"333","MDA231.9x.cell3606_S3606_R1_001",0.967232324933086,"1M"
"334","MDA231.9x.cell361_S361_R1_001",0.974492934009863,"1M"
"335","MDA231.9x.cell3621_S3621_R1_001",0.938793640295536,"1M"
"336","MDA231.9x.cell3624_S3624_R1_001",0.995589633278175,"1M"
"337","MDA231.9x.cell3626_S3626_R1_001",0.977608891150087,"1M"
"338","MDA231.9x.cell3627_S3627_R1_001",0.950568709773396,"1M"
"339","MDA231.9x.cell3628_S3628_R1_001",0.955982254546821,"1M"
"340","MDA231.9x.cell3635_S3635_R1_001",0.991655874708391,"1M"
"341","MDA231.9x.cell3637_S3637_R1_001",0.977199219346749,"1M"
"342","MDA231.9x.cell3638_S3638_R1_001",0.955604511607023,"1M"
"343","MDA231.9x.cell3640_S3640_R1_001",0.996432780983232,"1M"
