sample	reads_total	reads_assigned_bins	percentage_duplicates	median_bin_count	filter_corr_value	ReadsKept	MedianBinCount	dups_percentage	sample_name	over_disp	tech
MDA231-9x-cell1190_S1190_R1_001	844148	703838	0.17	106	0.899	703838	106	0.166214929135649	arc_well_mda231	0.020074105180503	Arc-well-MDAMB231
MDA231-9x-cell1204_S1204_R1_001	1262653	1037784	0.18	148	0.879	1037784	148	0.178092476713713	arc_well_mda231	0.0134580559835133	Arc-well-MDAMB231
MDA231-9x-cell1209_S1209_R1_001	1041274	865731	0.17	126	0.875	865731	126	0.168584829737418	arc_well_mda231	0.0114245337754607	Arc-well-MDAMB231
MDA231-9x-cell121_S121_R1_001	1034794	843686	0.18	126	0.986	843686	126	0.184682168624866	arc_well_mda231	0.00334415545942949	Arc-well-MDAMB231
MDA231-9x-cell1210_S1210_R1_001	1283210	1088406	0.15	164	0.896	1088406	164	0.151809914199546	arc_well_mda231	0.00351490249179769	Arc-well-MDAMB231
MDA231-9x-cell1215_S1215_R1_001	467342	387427	0.17	54	0.85	387427	54	0.170998968635389	arc_well_mda231	0.00961342127776374	Arc-well-MDAMB231
MDA231-9x-cell1223_S1223_R1_001	882098	740322	0.16	112	0.963	740322	112	0.160725905738365	arc_well_mda231	0.00727156908854128	Arc-well-MDAMB231
MDA231-9x-cell1230_S1230_R1_001	1217693	1005502	0.17	150	0.861	1005502	150	0.174256565489003	arc_well_mda231	0.0122706198486648	Arc-well-MDAMB231
MDA231-9x-cell1235_S1235_R1_001	1029678	838486	0.19	116	0.926	838486	116	0.185681348926558	arc_well_mda231	0.0166415869898036	Arc-well-MDAMB231
MDA231-9x-cell1238_S1238_R1_001	1089814	894388	0.18	126	0.882	894388	126	0.179320507903183	arc_well_mda231	0.0172955738214248	Arc-well-MDAMB231
MDA231-9x-cell124_S124_R1_001	892203	731495	0.18	106	0.931	731495	106	0.180124926726317	arc_well_mda231	0.013830215210617	Arc-well-MDAMB231
MDA231-9x-cell1243_S1243_R1_001	670363	557160	0.17	82	0.979	557160	82	0.168868210208499	arc_well_mda231	0.00806960410178242	Arc-well-MDAMB231
MDA231-9x-cell1253_S1253_R1_001	1295904	1088311	0.16	162	0.98	1088311	162	0.160191649998765	arc_well_mda231	0.00341344719945242	Arc-well-MDAMB231
MDA231-9x-cell1270_S1270_R1_001	1340849	1115209	0.17	166	0.979	1115209	166	0.168281439595361	arc_well_mda231	0.00225427820989872	Arc-well-MDAMB231
MDA231-9x-cell1271_S1271_R1_001	744834	618885	0.17	92	0.971	618885	92	0.169096738333642	arc_well_mda231	0.00470856975176642	Arc-well-MDAMB231
MDA231-9x-cell1281_S1281_R1_001	1575711	1311860	0.17	196	0.891	1311860	196	0.167448853247835	arc_well_mda231	0.00638411412986784	Arc-well-MDAMB231
MDA231-9x-cell1294_S1294_R1_001	783287	656722	0.16	100	0.996	656722	100	0.161581897822893	arc_well_mda231	0.00297320879382154	Arc-well-MDAMB231
MDA231-9x-cell1295_S1295_R1_001	811562	677286	0.17	92	0.908	677286	92	0.165453779255313	arc_well_mda231	0.0162207604465755	Arc-well-MDAMB231
MDA231-9x-cell1296_S1296_R1_001	1469279	1214562	0.17	178	0.93	1214562	178	0.173361900632895	arc_well_mda231	0.00550990256361452	Arc-well-MDAMB231
MDA231-9x-cell1297_S1297_R1_001	963016	808752	0.16	122	0.989	808752	122	0.160188408084601	arc_well_mda231	0.00307921917639472	Arc-well-MDAMB231
MDA231-9x-cell1299_S1299_R1_001	1047633	864568	0.17	130	0.915	864568	130	0.174741536396811	arc_well_mda231	0.00533296426412731	Arc-well-MDAMB231
MDA231-9x-cell13_S13_R1_001	875719	746174	0.15	114	0.968	746174	114	0.147929872481926	arc_well_mda231	0.00272959983185259	Arc-well-MDAMB231
MDA231-9x-cell130_S130_R1_001	1005740	837553	0.17	120	0.876	837553	120	0.167227116352139	arc_well_mda231	0.0159916312243242	Arc-well-MDAMB231
MDA231-9x-cell1304_S1304_R1_001	162387	137511	0.15	18	0.877	137511	18	0.153189602615973	arc_well_mda231	0.0216806207393344	Arc-well-MDAMB231
MDA231-9x-cell1306_S1306_R1_001	868679	750003	0.14	112	0.965	750003	112	0.13661663284136	arc_well_mda231	0.00415365041621286	Arc-well-MDAMB231
MDA231-9x-cell1307_S1307_R1_001	1096055	897036	0.18	138	0.979	897036	138	0.181577566819183	arc_well_mda231	0.00382915060307707	Arc-well-MDAMB231
MDA231-9x-cell1311_S1311_R1_001	695470	586788	0.16	88	0.991	586788	88	0.156271298546307	arc_well_mda231	0.0026071357736702	Arc-well-MDAMB231
MDA231-9x-cell1316_S1316_R1_001	1074279	893961	0.17	132	0.907	893961	132	0.16785025119173	arc_well_mda231	0.0124431488252695	Arc-well-MDAMB231
MDA231-9x-cell1317_S1317_R1_001	784635	666441	0.15	98	0.836	666441	98	0.150635645873559	arc_well_mda231	0.0185373018098626	Arc-well-MDAMB231
MDA231-9x-cell1318_S1318_R1_001	772529	647129	0.16	98	0.981	647129	98	0.162324003370747	arc_well_mda231	0.00296633135212815	Arc-well-MDAMB231
MDA231-9x-cell1321_S1321_R1_001	581033	491093	0.15	74	0.965	491093	74	0.154793273359689	arc_well_mda231	0.00378172602030264	Arc-well-MDAMB231
MDA231-9x-cell1331_S1331_R1_001	686189	579941	0.15	88	0.99	579941	88	0.154837807076476	arc_well_mda231	0.00443901678371046	Arc-well-MDAMB231
MDA231-9x-cell1332_S1332_R1_001	268996	231030	0.14	34	0.97	231030	34	0.141139645199185	arc_well_mda231	0.00488275991658213	Arc-well-MDAMB231
MDA231-9x-cell1342_S1342_R1_001	1033968	865066	0.16	118	0.927	865066	118	0.163353217894558	arc_well_mda231	0.0155222674206029	Arc-well-MDAMB231
MDA231-9x-cell1344_S1344_R1_001	979619	822236	0.16	120	0.954	822236	120	0.160657357605355	arc_well_mda231	0.00273030799362174	Arc-well-MDAMB231
MDA231-9x-cell1345_S1345_R1_001	1019030	845039	0.17	126	0.974	845039	126	0.170741783853272	arc_well_mda231	0.011380580878657	Arc-well-MDAMB231
MDA231-9x-cell1346_S1346_R1_001	183402	162752	0.11	24	0.847	162752	24	0.112594191993544	arc_well_mda231	0.0146235590875797	Arc-well-MDAMB231
MDA231-9x-cell1347_S1347_R1_001	901632	755118	0.16	106	0.93	755118	106	0.162498669080068	arc_well_mda231	0.0157208957187457	Arc-well-MDAMB231
MDA231-9x-cell1348_S1348_R1_001	860829	727479	0.15	108	0.871	727479	108	0.154908814642629	arc_well_mda231	0.00703713809615137	Arc-well-MDAMB231
MDA231-9x-cell135_S135_R1_001	1198969	983865	0.18	134	0.861	983865	134	0.179407474254964	arc_well_mda231	0.0130793456150599	Arc-well-MDAMB231
MDA231-9x-cell1351_S1351_R1_001	916048	762996	0.17	118	0.949	762996	118	0.167078581035055	arc_well_mda231	0.00400464064817148	Arc-well-MDAMB231
MDA231-9x-cell1353_S1353_R1_001	1236823	1028435	0.17	152	0.913	1028435	152	0.168486517472589	arc_well_mda231	0.0111054360643851	Arc-well-MDAMB231
MDA231-9x-cell1354_S1354_R1_001	816510	705331	0.14	108	0.985	705331	108	0.13616367221467	arc_well_mda231	0.00377941435023882	Arc-well-MDAMB231
MDA231-9x-cell1362_S1362_R1_001	716131	591505	0.17	90	0.992	591505	90	0.174026819115497	arc_well_mda231	0.00385425059333467	Arc-well-MDAMB231
MDA231-9x-cell1365_S1365_R1_001	282778	241287	0.15	32	0.907	241287	32	0.146726407287696	arc_well_mda231	0.0045396701670071	Arc-well-MDAMB231
MDA231-9x-cell1374_S1374_R1_001	1105389	911242	0.18	136	0.973	911242	136	0.175636812018213	arc_well_mda231	0.00362565024094152	Arc-well-MDAMB231
MDA231-9x-cell1375_S1375_R1_001	1088100	887284	0.18	134	0.962	887284	134	0.18455656649205	arc_well_mda231	0.00349029626802098	Arc-well-MDAMB231
MDA231-9x-cell1378_S1378_R1_001	709391	613679	0.13	90	0.881	613679	90	0.134921362126105	arc_well_mda231	0.00410571309556912	Arc-well-MDAMB231
MDA231-9x-cell1388_S1388_R1_001	679856	563474	0.17	84	0.951	563474	84	0.171186251206138	arc_well_mda231	0.00498058363923332	Arc-well-MDAMB231
MDA231-9x-cell1398_S1398_R1_001	960118	791759	0.18	122	0.936	791759	122	0.175352404600268	arc_well_mda231	0.0048826706100956	Arc-well-MDAMB231
MDA231-9x-cell1399_S1399_R1_001	1206532	1003401	0.17	150	0.882	1003401	150	0.168359397015579	arc_well_mda231	0.0135294672647714	Arc-well-MDAMB231
MDA231-9x-cell1409_S1409_R1_001	943380	784994	0.17	120	0.989	784994	120	0.167892047743221	arc_well_mda231	0.0031822307427384	Arc-well-MDAMB231
MDA231-9x-cell141_S141_R1_001	982624	805462	0.18	120	0.964	805462	120	0.180294802488032	arc_well_mda231	0.00292908239517322	Arc-well-MDAMB231
MDA231-9x-cell1410_S1410_R1_001	863106	735510	0.15	112	0.958	735510	112	0.147833522186151	arc_well_mda231	0.00339554061655442	Arc-well-MDAMB231
MDA231-9x-cell1411_S1411_R1_001	1387133	1166075	0.16	180	0.927	1166075	180	0.159363233374161	arc_well_mda231	0.00301596279822668	Arc-well-MDAMB231
MDA231-9x-cell1412_S1412_R1_001	1005085	835131	0.17	128	0.951	835131	128	0.169094156215643	arc_well_mda231	0.0026995499958596	Arc-well-MDAMB231
MDA231-9x-cell1418_S1418_R1_001	157018	138982	0.11	20	0.859	138982	20	0.114865811563006	arc_well_mda231	0.00814463589707315	Arc-well-MDAMB231
MDA231-9x-cell1421_S1421_R1_001	1441124	1188020	0.18	174	0.949	1188020	174	0.17562957802382	arc_well_mda231	0.00328161407826419	Arc-well-MDAMB231
MDA231-9x-cell1422_S1422_R1_001	956530	822637	0.14	112	0.901	822637	112	0.139977836555048	arc_well_mda231	0.0156696177727286	Arc-well-MDAMB231
MDA231-9x-cell1433_S1433_R1_001	1039835	896717	0.14	134	0.985	896717	134	0.137635297907841	arc_well_mda231	0.00347323445917331	Arc-well-MDAMB231
